"bts";"lon";"lat";"h0_moy";"h1_moy";"h2_moy";"h3_moy";"h4_moy";"h5_moy";"h6_moy";"h7_moy";"h8_moy";"h9_moy";"h10_moy";"h11_moy";"h12_moy";"h13_moy";"h14_moy";"h15_moy";"h16_moy";"h17_moy";"h18_moy";"h19_moy";"h20_moy";"h21_moy";"h22_moy";"h23_moy"
488;2.415;48.7559;9.0000000000000000;7.7142857142857143;6.5714285714285714;7.5714285714285714;7.4285714285714286;6.4285714285714286;12.2857142857142857;13.8571428571428571;14.8571428571428571;21.8571428571428571;18.7142857142857143;21.0000000000000000;17.1428571428571429;20.5714285714285714;16.7142857142857143;19.0000000000000000;18.5714285714285714;19.8571428571428571;24.7142857142857143;22.1428571428571429;16.7142857142857143;21.0000000000000000;18.8571428571428571;13.2857142857142857
489;2.17012;48.7562;15.5714285714285714;11.7142857142857143;7.7142857142857143;7.4285714285714286;12.7142857142857143;12.5714285714285714;28.0000000000000000;36.8571428571428571;51.2857142857142857;78.0000000000000000;64.0000000000000000;58.4285714285714286;57.1428571428571429;52.5714285714285714;56.2857142857142857;44.5714285714285714;52.7142857142857143;55.0000000000000000;55.5714285714285714;54.5714285714285714;36.8571428571428571;29.7142857142857143;33.0000000000000000;21.8571428571428571
490;2.37109;48.7566;0.14285714285714285714;0.14285714285714285714;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.14285714285714285714;0.42857142857142857143;1.5714285714285714;3.7142857142857143;6.4285714285714286;10.0000000000000000;14.5714285714285714;13.5714285714285714;14.2857142857142857;18.1428571428571429;19.7142857142857143;23.2857142857142857;23.8571428571428571;20.0000000000000000;16.7142857142857143;6.1428571428571429;0.71428571428571428571;0.28571428571428571429
491;2.34642;48.7567;40.4285714285714286;24.2857142857142857;24.2857142857142857;24.8571428571428571;28.1428571428571429;35.7142857142857143;34.7142857142857143;54.5714285714285714;66.4285714285714286;69.4285714285714286;59.5714285714285714;58.0000000000000000;50.1428571428571429;41.5714285714285714;44.4285714285714286;42.5714285714285714;46.1428571428571429;41.0000000000000000;46.0000000000000000;56.7142857142857143;52.2857142857142857;53.0000000000000000;51.2857142857142857;41.7142857142857143
492;2.36349;48.7567;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.14285714285714285714;0.85714285714285714286;0.00000000000000000000;1.1428571428571429;0.57142857142857142857;0.00000000000000000000;0.14285714285714285714;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.14285714285714285714;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.14285714285714285714;0.00000000000000000000;0.00000000000000000000
493;2.39877;48.7569;4.0000000000000000;3.1428571428571429;2.0000000000000000;2.7142857142857143;3.0000000000000000;5.1428571428571429;4.1428571428571429;4.2857142857142857;6.1428571428571429;8.1428571428571429;6.5714285714285714;8.7142857142857143;8.8571428571428571;8.4285714285714286;7.1428571428571429;7.5714285714285714;7.1428571428571429;9.2857142857142857;10.0000000000000000;10.1428571428571429;8.4285714285714286;10.2857142857142857;10.2857142857142857;9.0000000000000000
494;2.35272;48.7571;1.1428571428571429;1.8571428571428571;2.0000000000000000;1.2857142857142857;1.2857142857142857;1.2857142857142857;1.1428571428571429;1.2857142857142857;1.4285714285714286;2.0000000000000000;1.7142857142857143;1.2857142857142857;1.00000000000000000000;1.1428571428571429;1.1428571428571429;1.2857142857142857;1.1428571428571429;1.00000000000000000000;1.1428571428571429;1.00000000000000000000;1.1428571428571429;1.2857142857142857;1.7142857142857143;2.1428571428571429
495;2.36473;48.7573;0.57142857142857142857;0.42857142857142857143;0.57142857142857142857;0.14285714285714285714;0.00000000000000000000;0.71428571428571428571;0.42857142857142857143;0.85714285714285714286;0.71428571428571428571;0.28571428571428571429;0.57142857142857142857;0.42857142857142857143;0.71428571428571428571;0.85714285714285714286;0.71428571428571428571;0.42857142857142857143;0.42857142857142857143;0.28571428571428571429;0.42857142857142857143;1.00000000000000000000;1.4285714285714286;0.42857142857142857143;0.85714285714285714286;0.57142857142857142857
496;2.21701;48.7577;6.8571428571428571;5.0000000000000000;3.1428571428571429;4.1428571428571429;4.7142857142857143;6.1428571428571429;10.4285714285714286;17.8571428571428571;19.1428571428571429;23.0000000000000000;20.2857142857142857;23.0000000000000000;21.7142857142857143;17.7142857142857143;17.7142857142857143;18.5714285714285714;19.8571428571428571;22.0000000000000000;25.4285714285714286;22.4285714285714286;16.5714285714285714;12.7142857142857143;12.4285714285714286;12.0000000000000000
497;2.27864;48.7582;31.1428571428571429;23.5714285714285714;19.4285714285714286;19.7142857142857143;19.5714285714285714;29.7142857142857143;39.4285714285714286;58.5714285714285714;79.8571428571428571;164.2857142857142857;118.5714285714285714;93.7142857142857143;97.0000000000000000;76.5714285714285714;80.1428571428571429;97.0000000000000000;85.0000000000000000;82.2857142857142857;86.4285714285714286;89.7142857142857143;80.2857142857142857;68.2857142857142857;66.4285714285714286;45.7142857142857143
